words,Parts of speech,Number of word meanings,word meaning sequence number,Sentiment classification,strength,polarity,polar weight
great luck,noun,1,1,Desirable,5,1,2
dailan,adj,1,1,Desirable,3,0,1
courage,noun,1,1,Praiseworthy,5,1,2
ulterior motive,noun,1,1,Blameworthy,5,2,2
deji,verb,1,1,Desirable,3,0,1
ok,adj,1,1,Praiseworthy,5,1,2
worried about,verb,1,1,Undesirable,7,0,1
heyday,adj,1,1,Praiseworthy,5,1,2
over,adj,1,1,Blameworthy,3,2,2
injustice,adj,1,1,Undesirable,5,2,2
black shop,noun,1,1,Blameworthy,3,2,2
dark nest,noun,1,1,Blameworthy,3,2,2
coax,verb,1,1,Blameworthy,3,2,2
bad words,noun,1,1,Blameworthy,1,2,2
bad news,noun,1,1,Blameworthy,5,2,2
bastard,noun,1,1,Blameworthy,5,2,2
the culprit,noun,1,1,Blameworthy,5,2,2
squeeze right,verb,1,1,Blameworthy,3,2,2
counterfeit,verb,1,1,Blameworthy,5,2,2
traitor,noun,1,1,Blameworthy,5,2,2
sly,verb,1,1,Blameworthy,5,2,2
jinjin,adj,1,1,Blameworthy,3,2,2
gather,verb,1,1,Blameworthy,5,2,2
leper,noun,1,1,Blameworthy,3,2,2
empty consumption,verb,1,1,Blameworthy,1,2,2
dongfeng,noun,1,1,Praiseworthy,3,1,2
insight,verb,1,1,Praiseworthy,3,1,2
ill treatment,verb,1,1,Blameworthy,3,2,2
supervisor,verb,1,1,Praiseworthy,1,1,2
adhere to,verb,1,1,Praiseworthy,5,1,2
duanli,adj,1,1,Praiseworthy,3,1,2
dunpu,adj,1,1,Desirable,3,1,2
kindness,noun,1,1,Praiseworthy,3,1,2
beginning,verb,1,1,Praiseworthy,3,1,2
flowers,noun,1,1,Desirable,3,1,2
aromatic alcohol,adj,1,1,Praiseworthy,3,1,2
fangxin,adj,1,1,Praiseworthy,3,1,2
forge ahead,verb,1,1,Praiseworthy,5,1,2
good harvest,noun,1,1,Desirable,3,1,2
fertile,adj,1,1,Praiseworthy,3,1,2
fenghua,noun,1,1,Praiseworthy,5,1,2
assist,verb,1,1,Praiseworthy,3,0,1
rich years,noun,1,1,Praiseworthy,3,1,2
reform,verb,1,1,Praiseworthy,3,1,2
gan fang,adj,1,1,Desirable,3,1,2
delicious,noun,1,1,Desirable,5,1,2
acanthus,adj,1,1,Blameworthy,5,2,2
coerce,verb,1,1,Blameworthy,5,2,2
cold arrow,adj,1,1,Blameworthy,5,2,2
inducement,verb,1,1,Blameworthy,5,2,2
rogue bandits,noun,1,1,Blameworthy,5,2,2
coats,noun,1,1,Praiseworthy,9,1,2
rebellious ministers,noun,1,1,Blameworthy,3,2,2
in trouble,verb,1,1,Undesirable,5,0,1
infamy,noun,1,1,Blameworthy,5,2,2
blind work,verb,1,1,Blameworthy,3,2,2
wasteful,verb,1,1,Blameworthy,3,2,2
clutches,noun,1,1,Blameworthy,5,2,2
concluded,verb,1,1,Desirable,3,1,2
eliminate,verb,1,1,Praiseworthy,1,0,1
work force,noun,1,1,Praiseworthy,7,1,2
break through,verb,1,1,Praiseworthy,1,1,2
credit,noun,1,1,Praiseworthy,3,1,2
public comment,noun,1,1,Confirmed,5,1,2
gongfu,verb,1,1,Praiseworthy,5,1,2
incite,verb,1,1,Blameworthy,1,2,2
late stream,noun,1,1,Blameworthy,3,2,2
caring,verb,1,1,Desirable,5,1,2
murder,verb,1,1,Blameworthy,5,2,2
it works,adj,1,1,Praiseworthy,3,1,2
guanghua,noun,1,1,Praiseworthy,7,1,2
luster,noun,1,1,Praiseworthy,3,1,2
annoying,adj,1,1,Undesirable,3,2,2
lady,noun,1,1,Praiseworthy,7,1,2
nigu,adj,1,1,Blameworthy,3,2,2
distortion,verb,1,1,Blameworthy,7,2,2
killing,verb,1,1,Blameworthy,7,2,2
xenophobic,adj,1,1,Blameworthy,1,0,1
betrayal,verb,1,1,Blameworthy,7,2,2
gallant,noun,1,1,Praiseworthy,9,1,2
compensation,verb,1,1,Undesirable,5,2,2
banish,verb,1,1,Blameworthy,5,2,2
power,noun,1,1,Blameworthy,5,2,2
hehe,verb,1,1,Blameworthy,3,2,2
heyue,noun,1,1,Praiseworthy,7,1,2
rationalization,verb,1,1,Praiseworthy,1,1,2
hexiang,adj,1,1,Desirable,7,1,2
red list,noun,1,1,Praiseworthy,3,1,2
red flag,noun,1,1,Praiseworthy,1,0,1
torrent,noun,1,1,Praiseworthy,1,0,1
generous gift,noun,1,1,Praiseworthy,3,1,2
tiger power,noun,1,1,Praiseworthy,5,1,2
emblem,noun,1,1,Praiseworthy,5,1,2
benefit,verb,1,1,Praiseworthy,5,1,2
activist,noun,1,1,Praiseworthy,1,1,2
suddenly,adj,1,1,Desirable,7,1,2
intense,adj,1,1,Praiseworthy,9,1,2
machine shutdown,adj,1,1,Praiseworthy,5,1,2
auspicious,adj,1,1,Desirable,7,1,2
good omen,noun,1,1,Desirable,7,1,2
gullible,verb,1,1,Blameworthy,3,2,2
prisoner,noun,1,1,Blameworthy,3,2,2
maggots,noun,1,1,Blameworthy,7,2,2
rich family,noun,1,1,Blameworthy,5,2,2
dye vat,noun,1,1,Blameworthy,3,2,2
bear it,adj,1,1,Blameworthy,3,2,2
rub,verb,1,1,Blameworthy,3,2,2
death knell,noun,1,1,Undesirable,3,2,2
astringent,adj,1,1,Blameworthy,3,2,2
scar,noun,1,1,Undesirable,5,0,1
roest bun,adj,1,1,Blameworthy,5,2,2
absentminded,adj,1,1,Undesirable,5,2,2
slip,verb,1,1,Blameworthy,3,2,2
potential flame,noun,1,1,Blameworthy,7,2,2
victimized,verb,1,1,Undesirable,7,2,2
aggrieved,verb,1,1,Undesirable,5,2,2
juggle,verb,1,1,Blameworthy,7,2,2
private evil,noun,1,1,Blameworthy,5,2,2
go wild,noun,1,1,Blameworthy,5,2,2
damaged,verb,1,1,Blameworthy,5,2,2
mourning,verb,1,1,Blameworthy,5,2,2
cliché,noun,1,1,Blameworthy,5,2,2
chief,noun,1,1,Blameworthy,5,2,2
retreat slope,adj,1,1,Blameworthy,5,2,2
stubborn enemy,noun,1,1,Blameworthy,5,2,2
crisis,noun,1,1,Blameworthy,5,2,2
violate,verb,1,1,Blameworthy,5,2,2
den,noun,1,1,Blameworthy,7,2,2
wubi,adj,1,1,Blameworthy,5,2,2
westernize,verb,1,1,Blameworthy,3,2,2
flaw,noun,1,1,Blameworthy,5,2,2
leaks,noun,1,1,Blameworthy,5,2,2
danger omen,noun,1,1,Undesirable,5,2,2
effect,verb,1,1,Blameworthy,5,2,2
evil ways,noun,1,1,Blameworthy,7,2,2
obedience,noun,1,1,Blameworthy,5,2,2
fishy smell,adj,1,1,Blameworthy,3,2,2
murder weapon,noun,1,1,Blameworthy,5,2,2
haunted house,noun,1,1,Undesirable,5,2,2
false report,verb,1,1,Blameworthy,5,2,2
dummy,adj,1,1,Blameworthy,5,2,2
deliberate,verb,1,1,Blameworthy,7,2,2
dazzle,verb,1,1,Blameworthy,5,2,2
serious,adj,1,1,Blameworthy,3,2,2
climb upward,verb,1,1,Blameworthy,5,2,2
a bunch,adj,1,1,Blameworthy,3,2,2
legacy,verb,1,1,Blameworthy,5,2,2
fabrication,verb,1,1,Blameworthy,5,2,2
lewd,adj,1,1,Blameworthy,5,2,2
broad,adj,1,1,Blameworthy,5,2,2
yuan evil,noun,1,1,Blameworthy,5,2,2
diligent,adj,1,1,Praiseworthy,5,1,2
qingfen,noun,1,1,Desirable,3,1,2
hash,verb,1,1,Blameworthy,3,2,2
grass chicken,noun,1,1,Blameworthy,7,2,2
miscellaneous,adj,1,1,Blameworthy,5,2,2
bold,adj,1,1,Praiseworthy,7,1,2
eternal,adj,1,1,Praiseworthy,5,1,2
commemorate,verb,2,1,Undesirable,5,0,1
jiao didi,adj,2,1,Desirable,7,1,2
well-deserved reputation,idiom,1,1,Praiseworthy,5,1,2
naturally,adj,1,1,Blameworthy,5,2,2
not surprised,idiom,1,1,Praiseworthy,9,1,2
frame up,verb,1,1,Blameworthy,9,2,2
flagrant,idiom,1,1,Blameworthy,5,2,2
experience,noun,2,1,Praiseworthy,5,1,2
precarious,idiom,1,1,Undesirable,5,0,1
trickery,idiom,1,1,Blameworthy,7,2,2
golden needle,noun,1,1,Praiseworthy,5,1,2
arrive home,adj,1,1,Praiseworthy,7,1,2
peace,noun,1,1,Desirable,1,0,1
infringe,verb,1,1,Blameworthy,5,2,2
calculate,verb,1,1,Blameworthy,7,2,2
pretend,noun,1,1,Blameworthy,5,2,2
acerbic,adj,1,1,Blameworthy,5,2,2
wonderful,adj,1,1,Praiseworthy,7,1,2
sworn friends,idiom,1,1,Desirable,3,1,2
perfunctory,verb,1,1,Blameworthy,5,2,2
offend,verb,1,1,Blameworthy,3,2,2
dangerous,adj,1,1,Undesirable,1,0,1
prodigal son,noun,1,1,Blameworthy,3,2,2
majesty,adj,1,1,Praiseworthy,5,1,2
casual,adj,1,1,Blameworthy,5,2,2
friendly,adj,1,1,Desirable,3,1,2
be disgraced,verb,1,1,Undesirable,9,2,2
ignition,verb,1,1,Blameworthy,5,2,2
darling,noun,2,1,Undesirable,3,2,2
rigorous,adj,1,1,Praiseworthy,5,1,2
ease,verb,1,1,Desirable,1,0,1
grand,adj,1,1,Praiseworthy,5,1,2
easily,adj,1,1,Blameworthy,1,0,1
narrow,adj,1,1,Blameworthy,1,0,1
jerky,adj,1,1,Blameworthy,3,2,2
vixen,noun,1,1,Blameworthy,7,2,2
innocence,adj,1,1,Praiseworthy,5,1,2
self-restraint,noun,1,1,Praiseworthy,3,1,2
rise up,adv,1,1,Praiseworthy,3,1,2
unscrupulous,idiom,1,1,Blameworthy,9,2,2
gurgling,adj,1,1,Desirable,1,0,1
testimonials,verb,1,1,Praiseworthy,7,1,2
numerous,adj,1,1,Undesirable,1,0,1
accident,noun,1,1,Blameworthy,3,0,1
retreat,verb,1,1,Blameworthy,5,2,2
perfect,adj,1,1,Praiseworthy,9,1,2
error,noun,1,1,Blameworthy,3,2,2
altruism,verb,1,1,Praiseworthy,5,1,2
bargain,verb,1,1,Blameworthy,1,2,2
subservient,adj,1,1,Blameworthy,9,2,2
trivial,adj,1,1,Undesirable,3,2,2
revolution,noun,1,1,Praiseworthy,3,1,2
severe,adj,1,1,Blameworthy,5,0,1
100% sure,idiom,1,1,Confirmed,9,1,2
yazheng,adj,1,1,Praiseworthy,5,1,2
trample,verb,1,1,Blameworthy,9,2,2
intrusion,verb,1,1,Blameworthy,3,2,2
alms,verb,1,1,Praiseworthy,1,0,1
comprehensive,adj,1,1,Praiseworthy,5,1,2
vague,adj,1,1,Blameworthy,1,2,2
feel sorry,verb,1,1,Undesirable,5,0,1
bizarre,idiom,1,1,Undesirable,1,0,1
windfall,noun,1,1,Blameworthy,3,2,2
in power,verb,1,1,Blameworthy,9,2,2
flirtatious,adj,1,1,Blameworthy,5,2,2
balance,noun,2,1,Praiseworthy,1,0,1
hope,verb,1,1,Desirable,5,0,1
on paper,idiom,1,1,Praiseworthy,7,1,2
of course,idiom,1,1,Confirmed,5,0,1
dying breath,idiom,1,1,Undesirable,3,0,1
simplicity,adj,1,1,Praiseworthy,5,1,2
collapse,verb,1,1,Blameworthy,7,2,2
capricious,verb,1,1,Blameworthy,3,2,2
critical,adj,2,1,Undesirable,5,0,1
pernicious influence,verb,1,1,Blameworthy,9,2,2
shake hug,verb,1,1,Blameworthy,5,2,2
respectable,adj,1,1,Praiseworthy,5,1,2
carefree,adj,1,1,Desirable,7,1,2
seize,verb,1,1,Blameworthy,1,0,1
abundant,adj,1,1,Praiseworthy,5,1,2
outdated,verb,1,1,Blameworthy,5,2,2
interests,adj,1,1,Praiseworthy,5,1,2
repent,verb,1,1,Undesirable,7,2,2
steadily,verb,1,1,Praiseworthy,3,1,2
hurry,adj,1,1,Undesirable,3,0,1
chic,adj,1,1,Praiseworthy,5,1,2
innocent,noun,1,1,Praiseworthy,3,0,1
pack lightly,adj,1,1,Desirable,1,0,1
spread rumors,verb,1,1,Blameworthy,5,2,2
joke,noun,2,1,Blameworthy,1,0,1
hole,noun,1,1,Blameworthy,1,0,1
requite,noun,2,2,Praiseworthy,3,0,1
hate,adj,2,2,Blameworthy,7,2,2
rival,noun,3,3,Blameworthy,7,0,1
justice,adj,2,2,Praiseworthy,5,1,2
martyr,noun,2,2,Praiseworthy,5,1,2
uncomfortable,adj,2,2,Undesirable,5,0,1
merely,adj,2,2,Blameworthy,1,2,2
opposition,noun,2,2,Blameworthy,3,0,1
pursue,noun,2,2,Praiseworthy,5,1,2
good thing,verb,3,3,Blameworthy,5,2,2
bad language,noun,1,1,Blameworthy,5,2,2
rotten,adj,1,1,Blameworthy,5,2,2
send away,verb,1,1,Blameworthy,5,2,2
accuse,verb,1,1,Blameworthy,5,2,2
altar,noun,1,1,Praiseworthy,1,0,1
clear cut,adj,1,1,Praiseworthy,3,1,2
qingyi,adj,1,1,Praiseworthy,5,1,2
brocade,noun,1,1,Praiseworthy,1,0,1
emotional charm,adj,1,1,Desirable,3,1,2
consult,adj,1,1,Praiseworthy,3,1,2
rao yu,adj,1,1,Praiseworthy,7,1,2
ren hui,adj,1,1,Praiseworthy,5,1,2
won,adj,1,1,Desirable,5,1,2
moriyu,adj,1,1,Praiseworthy,5,1,2
colorful,adj,1,1,Desirable,3,1,2
feast,noun,1,1,Praiseworthy,5,1,2
shihao,noun,1,1,Praiseworthy,7,1,2
unveiling,verb,1,1,Praiseworthy,1,0,1
contribute,verb,1,1,Praiseworthy,3,0,1
turn around,noun,1,1,Undesirable,3,2,2
toast,verb,1,1,Praiseworthy,1,0,1
ziman,verb,1,1,Blameworthy,5,2,2
block,adj,1,1,Blameworthy,3,2,2
silly mouth,adj,1,1,Blameworthy,3,2,2
sickly,adj,1,1,Blameworthy,1,2,2
pitch black,adj,1,1,Undesirable,3,0,1
disdain,adj,1,1,Blameworthy,5,2,2
daze,verb,1,1,Undesirable,3,0,1
prestige,noun,1,1,Praiseworthy,5,1,2
famous person,adj,1,1,Praiseworthy,3,1,2
pilot,noun,1,1,Praiseworthy,5,1,2
obvious,adj,1,1,Praiseworthy,5,1,2
new look,adj,1,1,Praiseworthy,5,1,2
extremely top,noun,1,1,Praiseworthy,5,1,2
show strength,adj,1,1,Praiseworthy,5,1,2
elegant order,adj,1,1,Praiseworthy,5,1,2
yawan,adj,1,1,Praiseworthy,5,1,2
yan'er,adj,1,1,Desirable,5,1,2
yishen,adj,1,1,Desirable,5,1,2
righteous,adj,1,1,Praiseworthy,5,1,2
yingting,adj,1,1,Praiseworthy,5,1,2
yingran,adj,1,1,Praiseworthy,3,1,2
youxian,adj,1,1,Praiseworthy,5,1,2
interesting,adj,1,1,Praiseworthy,5,1,2
destined,adj,1,1,Praiseworthy,5,1,2
festival,noun,1,1,Desirable,9,1,2
jiawei,adj,1,1,Desirable,7,1,2
meet love,verb,1,1,Praiseworthy,7,1,2
overlap,verb,1,1,Praiseworthy,3,1,2
delicate blue,adj,1,1,Desirable,3,1,2
bullish,adj,1,1,Praiseworthy,5,1,2
energy saving,adj,1,1,Praiseworthy,3,1,2
aloof,adj,1,1,Praiseworthy,5,1,2
jinrun,verb,1,1,Praiseworthy,1,1,2
ca mau,noun,1,1,Praiseworthy,5,1,2
brand new,adj,1,1,Praiseworthy,1,1,2
philosopher,noun,1,1,Praiseworthy,5,1,2
true knowledge,noun,1,1,Praiseworthy,5,1,2
laughing,verb,1,1,Desirable,5,0,1
on track,noun,1,1,Praiseworthy,5,1,2
win,verb,1,1,Desirable,5,1,2
loyal bones,noun,1,1,Praiseworthy,5,1,2
pearl,noun,1,1,Praiseworthy,5,1,2
zhuang jing,adj,1,1,Praiseworthy,3,1,2
zhuangxing,verb,1,1,Praiseworthy,5,1,2
pretty,noun,1,1,Praiseworthy,5,1,2
in phase,verb,1,1,Desirable,3,0,1
affectionate,adj,1,1,Praiseworthy,3,1,2
jinghui,noun,1,1,Praiseworthy,1,0,1
sperm core,verb,1,1,Praiseworthy,3,1,2
precision,adj,1,1,Praiseworthy,3,1,2
proficient,verb,1,1,Praiseworthy,5,1,2
crystal light,noun,1,1,Praiseworthy,3,1,2
orderly,adj,1,1,Praiseworthy,3,1,2
alerting,verb,1,1,Praiseworthy,1,1,2
critical friend,noun,1,1,Desirable,3,1,2
jinxiu,adj,1,1,Praiseworthy,3,1,2
emergency,verb,1,1,Desirable,1,1,2
reasonable,noun,1,1,Confirmed,1,1,2
favor,verb,1,1,Desirable,5,1,2
darkness,idiom,1,1,Blameworthy,7,2,2
white dog,idiom,1,1,Undesirable,5,0,1
despicable,adj,1,1,Blameworthy,9,2,2
holding back,adj,1,1,Blameworthy,9,2,2
awesome,adj,1,1,Praiseworthy,3,1,2
without understanding,idiom,1,1,Blameworthy,7,2,2
awkward,prep,1,1,Undesirable,5,2,2
lush foliage,idiom,1,1,Praiseworthy,9,1,2
flesh,adj,1,1,Praiseworthy,9,1,2
no problem,prep,1,1,Blameworthy,3,2,2
bloodthirsty,idiom,1,1,Blameworthy,9,2,2
many crises,idiom,1,1,Undesirable,9,2,2
unrefined,adj,1,1,Blameworthy,9,2,2
safety,adj,1,1,Desirable,3,1,2
nondescript,idiom,1,1,Blameworthy,7,2,2
unrealistic,idiom,1,1,Blameworthy,7,2,2
superficial,idiom,1,1,Blameworthy,5,2,2
outrageous,adj,1,1,Blameworthy,9,2,2
not worthy,adj,1,1,Blameworthy,5,2,2
tastes bad,idiom,1,1,Blameworthy,9,2,2
mysterious,adj,1,1,Disconfirmed,5,0,1
precarious,idiom,1,1,Undesirable,7,2,2
incompetent bungler,idiom,1,1,Blameworthy,9,2,2
village spirit,adj,1,1,Blameworthy,5,2,2
significantly,adj,1,1,Praiseworthy,5,0,1
weathered,idiom,1,1,Undesirable,3,0,1
corruption,idiom,1,1,Blameworthy,9,2,2
decent,adj,1,1,Praiseworthy,5,1,2
indifferent,prep,1,1,Blameworthy,3,2,2
perverse,adj,1,1,Blameworthy,7,2,2
luxury,adj,1,1,Blameworthy,5,2,2
stubble,idiom,1,1,Blameworthy,3,2,2
deserted,idiom,1,1,Undesirable,5,0,1
intelligent,noun,1,1,Praiseworthy,5,1,2
high quality,adj,1,1,Praiseworthy,3,1,2
zhongliang,noun,1,1,Praiseworthy,5,1,2
carefully,idiom,1,1,Praiseworthy,3,1,2
optimal,adj,1,1,Praiseworthy,3,1,2
so depressed,adj,1,1,Undesirable,7,2,2
heavy,adj,1,1,Undesirable,7,2,2
unhappy,adj,1,1,Undesirable,3,0,1
chide,verb,1,1,Blameworthy,5,0,1
fear,verb,1,1,Undesirable,5,0,1
urgently,adj,1,1,Undesirable,7,2,2
horrible,adj,1,1,Undesirable,7,2,2
shout angrily,verb,1,1,Blameworthy,5,0,1
extremely suspicious,idiom,1,1,Undesirable,5,2,2
can't wait,idiom,1,1,Undesirable,7,0,1
surprised,verb,1,1,Undesirable,3,0,1
frustrated,idiom,1,1,Undesirable,5,2,2
rebuke,verb,1,1,Blameworthy,5,0,1
appetizing,adj,1,1,Desirable,3,1,2
ecstatic,idiom,1,1,Desirable,9,0,1
be envious,verb,1,1,Undesirable,5,0,1
xiaojiazixiang,idiom,1,1,Blameworthy,7,2,2
postponement date,idiom,1,1,Blameworthy,3,2,2
learned,adj,1,1,Praiseworthy,5,1,2
formality,verb,1,1,Blameworthy,3,2,2
desertion,verb,1,1,Blameworthy,7,2,2
young master,idiom,1,1,Blameworthy,3,2,2
untidy,adj,1,1,Blameworthy,3,2,2
heavy traffic,idiom,1,1,Praiseworthy,3,1,2
extraordinary shots,idiom,1,1,Praiseworthy,5,1,2
old rush,noun,1,1,Blameworthy,5,2,2
subordinate,adj,1,1,Blameworthy,1,2,2
off rope,adj,1,1,Undesirable,9,0,1
lililala,idiom,1,1,Blameworthy,3,2,2
low profile,adj,1,1,Praiseworthy,1,1,2
great name,idiom,1,1,Praiseworthy,3,1,2
fluffy,idiom,1,1,Blameworthy,7,2,2
conventional,prep,1,1,Blameworthy,5,2,2
casually,idiom,1,1,Blameworthy,1,0,1
insider,noun,1,1,Blameworthy,1,0,1
no future,prep,1,1,Blameworthy,3,2,2
labyrinthine,adj,1,1,Undesirable,1,0,1
nominally,adj,1,1,Blameworthy,5,2,2
difficult person,adj,1,1,Undesirable,7,2,2
crumbling,adj,1,1,Undesirable,9,2,2
clean,adj,1,1,Praiseworthy,9,1,2
official profiteering,noun,1,1,Blameworthy,5,2,2
winning,adj,1,1,Praiseworthy,9,1,2
informative,adj,1,1,Praiseworthy,9,1,2
disagreeable,prep,1,1,Blameworthy,3,2,2
slang,noun,1,1,Blameworthy,1,0,1
bad temper,idiom,1,1,Blameworthy,3,2,2
lie,verb,1,1,Blameworthy,9,2,2
believe,verb,1,1,Confirmed,7,1,2
unattractive appearance,idiom,1,1,Blameworthy,7,0,1
force,verb,1,1,Blameworthy,5,2,2
extremely extravagant,idiom,1,1,Blameworthy,9,2,2
fragile,idiom,1,1,Blameworthy,3,2,2
scattered,adj,1,1,Blameworthy,1,2,2
towering,verb,1,1,Praiseworthy,3,1,2
erya,adj,1,1,Praiseworthy,3,1,2
unfounded,prep,1,1,Blameworthy,9,2,2
take charge,verb,1,1,Blameworthy,1,0,1
picturesque,idiom,1,1,Desirable,3,1,2
lotus,noun,1,1,Praiseworthy,1,0,1
convoy,verb,1,1,Praiseworthy,1,0,1
very rare,idiom,1,1,Praiseworthy,7,1,2
si siwenwen,adj,1,1,Praiseworthy,9,1,2
high purity,adj,1,1,Praiseworthy,1,1,2
indispensable contribution,idiom,1,1,Praiseworthy,7,1,2
inspiring,idiom,1,1,Praiseworthy,3,1,2
overripe,idiom,1,1,Praiseworthy,1,1,2
terrifying afterlife,idiom,1,1,Praiseworthy,5,1,2
favored,adj,1,1,Desirable,3,1,2
sheng ming,adj,1,1,Praiseworthy,9,1,2
highlights,noun,1,1,Desirable,1,0,1
being polite,prep,1,1,Praiseworthy,3,1,2
tendon,adj,1,1,Praiseworthy,1,1,2
soft hearted,prep,1,1,Praiseworthy,3,1,2
thin,adj,1,1,Blameworthy,1,0,1
absolutely,adj,1,1,Praiseworthy,5,1,2
pioneering,noun,1,1,Praiseworthy,5,1,2
quick words,idiom,1,1,Praiseworthy,3,1,2
solid leather,adj,1,1,Praiseworthy,3,1,2
quietly,adj,1,1,Undesirable,5,0,1
biased,idiom,1,1,Blameworthy,9,2,2
clear-cut flag,idiom,1,1,Praiseworthy,3,1,2
overgrown,idiom,1,1,Blameworthy,9,2,2
coy,idiom,1,1,Undesirable,9,2,2
omnipotent,idiom,1,1,Praiseworthy,9,1,2
stretched,adj,1,1,Undesirable,7,2,2
resolutely,prep,1,1,Praiseworthy,9,1,2
be clear-minded,idiom,1,1,Praiseworthy,9,1,2
violent,adj,1,1,Blameworthy,7,2,2
hard,adj,1,1,Undesirable,3,0,1
good-looking,adj,1,1,Praiseworthy,1,1,2
mingrui,adj,1,1,Praiseworthy,5,1,2
far-sighted,idiom,1,1,Praiseworthy,5,1,2
aisi haozhu,idiom,1,1,Praiseworthy,3,1,2
picturesque country,idiom,1,1,Praiseworthy,5,1,2
stable,adj,1,1,Desirable,3,1,2
depression,verb,3,2,Undesirable,3,2,2
jishi anbang,idiom,1,1,Praiseworthy,9,1,2
wenzhiwu gong,idiom,1,1,Praiseworthy,9,1,2
recreation,adj,1,1,Desirable,3,1,2
fragrant,noun,1,1,Praiseworthy,3,1,2
rejoice,adj,1,1,Desirable,7,1,2
satisfied,adj,1,1,Desirable,5,1,2
just right,adj,1,1,Desirable,3,1,2
warm,adj,1,1,Desirable,3,1,2
taotao,adj,1,1,Desirable,3,1,2
hearty,adj,1,1,Desirable,3,1,2
humor,adj,1,1,Praiseworthy,3,1,2
banished,verb,1,1,Undesirable,3,0,1
enraptured,adj,1,1,Desirable,5,1,2
looking deeply,verb,1,1,Undesirable,3,1,2
empathize,idiom,1,1,Desirable,3,1,2
fiery,adj,1,1,Desirable,5,1,2
well-being,adj,1,1,Desirable,3,1,2
tempting,verb,1,1,Desirable,3,0,1
toil,adj,1,1,Praiseworthy,5,1,2
strictly observe,adj,1,1,Praiseworthy,3,1,2
rare birds,noun,1,1,Desirable,1,1,2
feeling distressed,verb,1,1,Undesirable,5,0,1
birthday wishes,verb,1,1,Desirable,3,1,2
infatuation,noun,1,1,Desirable,7,0,1
fond of,verb,1,1,Desirable,9,0,1
dear,adj,1,1,Desirable,7,0,1
old fashion,idiom,1,1,Blameworthy,3,2,2
angel,noun,1,1,Desirable,7,1,2
wise,adj,1,1,Praiseworthy,5,1,2
willingly,idiom,1,1,Desirable,3,0,1
maimai,adv,1,1,Desirable,3,1,2
not unreasonable,idiom,1,1,Praiseworthy,1,0,1
miracle,noun,1,1,Undesirable,9,1,2
advocate,verb,1,1,Praiseworthy,7,1,2
jingmu,verb,1,1,Praiseworthy,7,1,2
immortal,adj,1,1,Praiseworthy,7,1,2
great man,noun,1,1,Praiseworthy,7,1,2
five-body cast,adj,1,1,Praiseworthy,5,1,2
prolong life,idiom,1,1,Desirable,3,1,2
magu’s birthday,idiom,1,1,Desirable,3,1,2
respect elders,noun,1,1,Praiseworthy,7,0,1
futie,adj,1,1,Praiseworthy,3,1,2
self-respect,adj,1,1,Praiseworthy,3,1,2
call,verb,1,1,Praiseworthy,5,1,2
treasure family,noun,1,1,Praiseworthy,7,1,2
methodical,adj,1,1,Praiseworthy,9,1,2
confusing,idiom,1,1,Undesirable,3,0,1
looks unmoved,idiom,1,1,Desirable,3,1,2
household name,idiom,1,1,Praiseworthy,3,1,2
eagerly,prep,1,1,Undesirable,5,2,2
credit,noun,1,1,Confirmed,3,0,1
own people,noun,1,1,Confirmed,7,0,1
one-size-fits-all,idiom,1,1,Confirmed,9,1,2
chisel,adj,1,1,Confirmed,5,0,1
high pitched,adj,1,1,Praiseworthy,7,1,2
act bravely,noun,1,1,Praiseworthy,7,1,2
optimistic,adj,1,1,Desirable,3,1,2
beautiful features,adj,1,1,Praiseworthy,5,1,2
endless fun,idiom,1,1,Desirable,3,1,2
vigorous,adj,1,1,Praiseworthy,5,1,2
integrity,noun,1,1,Praiseworthy,5,1,2
righteousness,adj,1,1,Praiseworthy,5,1,2
agree,verb,1,1,Praiseworthy,5,1,2
rapid progress,adj,1,1,Praiseworthy,5,1,2
indestructible,adj,1,1,Praiseworthy,5,1,2
kuoda,adj,1,1,Praiseworthy,5,1,2
hansome,adj,1,1,Praiseworthy,5,1,2
zhenlie,adj,1,1,Praiseworthy,5,1,2
above board,adj,1,1,Praiseworthy,9,1,2
bingqingyujie,adj,1,1,Praiseworthy,5,1,2
solid,adj,1,1,Praiseworthy,5,1,2
supple,adj,1,1,Praiseworthy,5,1,2
warrior,noun,1,1,Praiseworthy,3,1,2
modesty,adj,1,1,Praiseworthy,5,1,2
dan chen,noun,1,1,Praiseworthy,5,1,2
tiger tiger,adj,1,1,Praiseworthy,3,1,2
calm,adj,1,1,Praiseworthy,5,1,2
spill,adj,1,1,Praiseworthy,3,1,2
mature,adj,1,1,Praiseworthy,5,0,1
lubricant,adj,1,1,Praiseworthy,3,1,2
everlasting,adj,1,1,Praiseworthy,7,1,2
persist in,verb,1,1,Praiseworthy,3,0,1
enthusiastic,adj,1,1,Praiseworthy,5,1,2
attentive,adj,1,1,Praiseworthy,3,1,2
deep affection,adj,1,1,Praiseworthy,5,1,2
carefulness,adj,1,1,Praiseworthy,3,1,2
developed,adj,1,1,Praiseworthy,5,1,2
mighty,adj,1,1,Praiseworthy,3,1,2
neat,adj,1,1,Praiseworthy,3,1,2
superior,adj,1,1,Praiseworthy,5,1,2
precious,adj,1,1,Praiseworthy,5,1,2
momentum,noun,1,1,Praiseworthy,1,1,2
qing lingling,adj,1,1,Praiseworthy,3,1,2
